논문 기관명,실제 기관명,상위 기관명,국가,ROR ID,논문 수,근거,검토 필요
Stanford University,Stanford University,,United States,00f54p054,119,scopus+pdf,
Tsinghua University,Tsinghua University,,China,03cve4549,95,scopus+pdf,
Shanghai Jiao Tong University,Shanghai Jiao Tong University,,China,0220qvk04,72,scopus+pdf,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,,United States,042nb2s44,71,scopus+pdf,
Peking University,Peking University,,China,02v51f717,70,scopus+pdf,
Carnegie Mellon University,Carnegie Mellon University,,United States,05x2bcf33,69,scopus+pdf,
"University of California, Berkeley","University of California, Berkeley",,United States,01an7q238,63,scopus-unconfirmed,
University of Washington,University of Washington,,United States,00cvxb145,53,scopus+pdf,
Harvard University,Harvard University,,United States,03vek6s52,51,scopus+pdf,
Kellogg School of Management Northwestern University,Northwestern University,,United States,000e0be47,49,scopus+pdf,
The University of Hong Kong,University of Hong Kong,,Hong Kong,02zhqgq86,42,scopus+pdf,
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,United States,047426m28,42,scopus+pdf,
Northwestern Institute on Complex Systems,Northwestern Institute on Complex Systems,Northwestern University,United States,,39,scopus+pdf,
Shanghai Artificial Intelligence Laboratory,Shanghai Artificial Intelligence Laboratory,,China,03wkvpx79,38,scopus+pdf,
Northeastern University,Northeastern University,,United States,04t5xt781,36,scopus+pdf,국가 불일치
Zhejiang University,Zhejiang University,,China,00a2xv884,36,scopus+pdf,
National University of Singapore,National University of Singapore,,Singapore,01tgyzw49,34,scopus+pdf,
The University of Texas at Austin,The University of Texas at Austin,,United States,00hj54h04,34,scopus+pdf,
University of Science and Technology of China,University of Science and Technology of China,Chinese Academy of Sciences,China,04c4dkn09,34,scopus+pdf,
University of Toronto,University of Toronto,,Canada,03dbr7087,33,scopus+pdf,
Fudan University,Fudan University,,China,013q1eq08,32,scopus+pdf,
Harbin Institute of Technology,Harbin Institute of Technology,,China,01yqg2h08,31,scopus+pdf,
University of Oxford,University of Oxford,,United Kingdom,052gg0110,31,scopus+pdf,
NVIDIA,Nvidia (United States),NVIDIA,United States,03jdj4y14,29,scopus-unconfirmed,
Princeton University,Princeton University,,United States,00hx57361,29,scopus-unconfirmed,
New York University,New York University,,United States,0190ak572,25,scopus+pdf,
